EPA ID,Site ID,Name,Address,City,County,FIPS,State,ZIP code,Latitude,Longitude,NPL status,NPL status date,HRS score
ARD990660649,0600295,CEDAR CHEMICAL CORPORATION,49 PHILLIPS ROAD 311 (HIGHWAY 242 SOUTH),WEST HELENA,PHILLIPS,05107,AR,72342,34.5206,-90.6517,Final,09/18/12,0
ASD980637656,0900467,TAPUTIMU FARM,TAPUTIMU ISLAND OF TUTUILA,PAGO PAGO,,,AS,96799,-14.3601,-170.772,Deleted from NPL,03/07/86,0
AZ0000309013,0905049,IRON KING MINE - HUMBOLDT SMELTER,"PARTS OF SECS 15,16&22, TWP 13N, RNG 1E",Dewey-Humboldt,YAVAPAI,04025,AZ,86327,34.5033,-112.2366,Final,09/03/08,52.69
AZ0570024133,0900884,LUKE AIR FORCE BASE,S RT 8 YUMA THRU GILA BEND,GLENDALE,MARICOPA,04013,AZ,85309,33.54,-112.3567,Deleted from NPL,04/22/02,37.93
AZ0971590062,0900885,YUMA MARINE CORPS AIR STATION,AVENUE 3E,YUMA,YUMA,04027,AZ,85369,32.6545,-114.5888,Final,02/21/90,32.24
AZ7570028582,0900890,WILLIAMS AIR FORCE BASE,WILLIAMS AFB 6001 SOUTH POWER ROAD,CHANDLER,MARICOPA,04013,AZ,85224,33.3069,-111.6519,Final,11/21/89,37.93
AZD008399263,0900510,APACHE POWDER CO.,1436 S APACHE POWDER RD,SAINT DAVID,COCHISE,04003,AZ,85630,31.88,-110.24,Final,08/30/90,39.09
AZD009004177,0900517,"MOTOROLA, INC. (52ND STREET PLANT)",5005 E MCDOWELL RD,PHOENIX,MARICOPA,04013,AZ,85008,33.4616,-111.9708,Final,10/04/89,40.83
AZD980496780,0900648,NINETEENTH AVENUE LANDFILL,19TH AVE,PHOENIX,MARICOPA,04013,AZ,85041,33.4166,-112.0917,Deleted from NPL,09/25/06,54.27
AZD980695902,0900672,PHOENIX-GOODYEAR AIRPORT AREA,BETWEEN LWR BUCKEYE ROAD & VAN BUREN,GOODYEAR,MARICOPA,04013,AZ,85338,33.4297,-112.3653,Final,09/08/83,45.91
AZD980695969,0900673,INDIAN BEND WASH AREA,MCDOWELL RD & HAYDEN,SCOTTSDALE,MARICOPA,04013,AZ,85253,33.4666,-111.9083,Final,09/08/83,42.24
AZD980735666,0900677,HASSAYAMPA LANDFILL,OLD WICKENBURG RD,HASSAYAMPA,MARICOPA,04013,AZ,85343,33.3683,-112.7483,Final,07/22/87,42.79
AZD980735724,0900679,MOUNTAIN VIEW MOBILE HOME ESTATES,RTE 77,GLOBE,GILA,04007,AZ,85501,33.3728,-110.7332,Deleted from NPL,04/18/88,0
AZD980737530,0900684,TUCSON INTERNATIONAL AIRPORT AREA,NOGALES HWY,TUCSON,PIMA,04019,AZ,85734,32.1055,-110.9333,Final,09/08/83,57.8
CA0001576081,0905334,AMCO CHEMICAL,1414 THIRD STREET,OAKLAND,ALAMEDA,06001,CA,94607,37.8025,-122.2937,Final,09/29/03,50
CA0001900463,0905346,NEW IDRIA MERCURY MINE,"TOWNSHIP: 17S, RANGE: 12E",IDRIA,SAN BENITO,06069,CA,95043,36.4127,-120.6744,Final,09/16/11,31.66
CA0210020780,0902715,SACRAMENTO ARMY DEPOT,8350 FRUITRIDGE RD,SACRAMENTO,SACRAMENTO,06067,CA,95813,38.5202,-121.3958,Final,07/22/87,44.46
CA1141190578,0903986,KLAU/BUENA VISTA MINE,"T 26S, R 10E, SEC 33, S1/2 MT DIABLO MER",PASO ROBLES,SAN LUIS OBISPO,06079,CA,93446,35.6259,-120.8967,Final,04/19/06,50
CA1170090087,0902722,TREASURE ISLAND NAVAL STATION-HUNTERS POINT ANNEX,HUNTERS POINT NAVAL SHIPYARD,SAN FRANCISCO,SAN FRANCISCO,06075,CA,94124,37.7222,-122.3673,Final,11/21/89,48.77
CA1570024504,0902725,EDWARDS AIR FORCE BASE,"AFFTC EDWARDS AFB 5 EAST  POPSON AVE, BL",EDWARDS AFB,KERN,06029,CA,93524,34.9494,-117.8857,Final,08/30/90,33.62
CA2170023236,0902731,ALAMEDA NAVAL AIR STATION,W END CITY OF ALAMEDA,ALAMEDA,ALAMEDA,06001,CA,94501,37.7888,-122.33,Final,07/22/99,50
CA2170023533,0902732,CAMP PENDLETON MARINE CORPS BASE,CAMP PENDLETON MARINE BASE,CAMP PENDLETON,SAN DIEGO,06073,CA,92055,33.3066,-117.3408,Final,11/21/89,33.79
CA2170090078,0902734,MOFFETT FIELD NAVAL AIR STATION,MOFFETT FIELD NAS,MOFFETT FIELD,SANTA CLARA,06085,CA,94035,37.4113,-122.0522,Final,07/22/87,29.49
CA2570024453,0902737,GEORGE AIR FORCE BASE,AIR BASE RD- NR ST RTE 395,VICTORVILLE,SAN BERNARDINO,06071,CA,92392,34.595,-117.3833,Final,02/21/90,33.62
CA2890012584,0902740,"LAWRENCE LIVERMORE NATL LAB, MAIN SITE (USDOE)",7000 EAST AVE,LIVERMORE,ALAMEDA,06001,CA,94550,37.688,-121.7047,Final,07/22/87,42.24
CA2890090002,0902742,LAWRENCE LIVERMORE NATL LAB (SITE 300) (USDOE),CORRAL HOLLOW ROAD,TRACY,SAN JOAQUIN,06077,CA,95376,37.6443,-121.5766,Final,08/30/90,31.58
CA2890190000,0904786,LABORATORY FOR ENERGY-RELATED HEALTH RESEARCH/OLD CAMPUS LANDFILL (USDOE),OLD DAVIS RD,DAVIS,SOLANO,06095,CA,95616,38.5187,-121.7512,Final,05/31/94,50
CA3570024551,0902751,CASTLE AIR FORCE BASE (6 AREAS),CASTLE AFB,MERCED,MERCED,06047,CA,95342,37.3673,-120.5636,Final,07/22/87,37.93
CA4570024337,0902759,MCCLELLAN AIR FORCE BASE (GROUND WATER CONTAMINATION),APPROX 5200 WATT AVE,MCCLELLAN AFB,SACRAMENTO,06067,CA,95652,38.66,-121.3994,Final,07/22/87,57.93
CA4570024345,0902760,NORTON AIR FORCE BASE (LNDFLL #2),I-10/US 395 FORMER NORTON AFB,SAN BERNARDINO,SAN BERNARDINO,06071,CA,92408,34.098,-117.2372,Final,07/22/87,39.65
CA4570024527,0902761,MARCH AIR FORCE BASE,22 CSG/CC,RIVERSIDE,RIVERSIDE,06065,CA,92518,33.9063,-117.2557,Final,11/21/89,31.94
CA4971520834,0902762,TRACY DEFENSE DEPOT (USARMY),CHRISMAN RD,TRACY,SAN JOAQUIN,06077,CA,95376,37.7152,-121.3911,Final,08/30/90,37.16
CA5570024575,0902767,TRAVIS AIR FORCE BASE,TRAVIS AFB,TRAVIS AFB,SOLANO,06095,CA,94535,38.2644,-121.9332,Final,11/21/89,29.49
CA6170023208,0902770,EL TORO MARINE CORPS AIR STATION,EL TORO MARINE CORPS AIR STA EL TORO M C,EL TORO,ORANGE,06059,CA,92709,33.6766,-117.7176,Final,02/21/90,37.43
CA7170024528,0902778,CONCORD NAVAL WEAPONS STATION,PORT CHICAGO HWY,CONCORD,CONTRA COSTA,06013,CA,94520,38.0494,-122,Final,12/16/94,50
CA7210020676,0902783,FORT ORD,FORMER ARMY BASE FORT ORD,MARINA,MONTEREY,06053,CA,93933,36.625,-121.75,Final,02/21/90,42.24
CA7210020759,0902785,RIVERBANK ARMY AMMUNITION PLANT,5300 CLAUS RD,RIVERBANK,STANISLAUS,06099,CA,95367,37.7169,-120.9181,Final,02/21/90,63.94
CA8170024261,0902790,BARSTOW MARINE CORPS LOGISTICS BASE,MARINE CORPS LOGIS BASE- NEBO,BARSTOW,SAN BERNARDINO,06071,CA,92311,34.8783,-116.9389,Final,11/21/89,37.93
CA8210020832,0902792,SHARPE ARMY DEPOT,700 EAST ROTH RD,LATHROP,SAN JOAQUIN,06077,CA,95330,37.8291,-121.2672,Final,07/22/87,42.24
CA8570024143,0902793,MATHER AIR FORCE BASE (AC&W DISPOSAL SITE),MATHER AIR FORCE BASE,MATHER,SACRAMENTO,06067,CA,95655,38.5569,-121.2972,Final,07/22/87,28.9
CA9800013030,0903438,JET PROPULSION LABORATORY (NASA),4800 OAK GROVE DR,PASADENA,LOS ANGELES,06037,CA,91109,34.2011,-118.1674,Final,10/14/92,50
CAD000074120,0900899,MGM BRAKES,HWY 101 & SANTANA RD,CLOVERDALE,SONOMA,06097,CA,95425,38.784,-123.0109,Final,09/08/83,34.7
CAD000625731,0900917,J.H. BAXTER & CO.,422 MILL ST,WEED,SISKIYOU,06093,CA,96094,41.4364,-122.3707,Final,10/04/89,34.78
CAD000626176,0900923,DEL NORTE PESTICIDE STORAGE,2650 WASHINGTON BLVD,CRESCENT CITY,DEL NORTE,06015,CA,95531,41.7733,-124.2317,Deleted from NPL,09/18/02,35.79
CAD001864081,0900956,WESTINGHOUSE ELECTRIC CORP. (SUNNYVALE PLANT),401 HENDY AVENUE,SUNNYVALE,SANTA CLARA,06085,CA,95117,37.3787,-122.0225,Final,06/10/86,39.93
CAD008242711,0900993,MONTROSE CHEMICAL CORP.,20201 S NORMANDIE AVE,TORRANCE,LOS ANGELES,06037,CA,90502,33.8483,-118.2983,Final,10/04/89,32.1
CAD008339467,0904837,JERVIS B. WEBB CO.,9301 RAYO AVE AND 5030 FIRESTONE BLVD,SOUTH GATE,LOS ANGELES,06037,CA,90280,33.9502,-118.1769,Final,05/10/12,45.76
CAD009103318,0901126,JASCO CHEMICAL CORP.,1710 VILLA ST,MOUNTAIN VIEW,SANTA CLARA,06085,CA,94041,37.3988,-122.0882,Final,10/04/89,35.36
CAD009106220,0901128,T.H. AGRICULTURE & NUTRITION CO.,7183 E MCKINLEY AVE,FRESNO,FRESNO,06019,CA,93727,36.7647,-119.6605,Deleted from NPL,08/21/06,42.24
CAD009106527,0901129,MCCORMICK & BAXTER CREOSOTING CO.,1214 W WASHINGTON ST,STOCKTON,SAN JOAQUIN,06077,CA,95203,37.9478,-121.3066,Final,10/14/92,74.86
CAD009111444,0901134,TELEDYNE SEMICONDUCTOR,1300 TERRA BELLA AVE,MOUNTAIN VIEW,SANTA CLARA,06085,CA,94043,37.4108,-122.0797,Final,07/22/87,35.35
CAD009112087,0901135,"KOPPERS CO., INC. (OROVILLE PLANT)",BAGGETT-MARYSVILLE RD,OROVILLE,BUTTE,06007,CA,95965,39.4708,-121.5643,Final,09/21/84,33.73
CAD009138488,0900252,"SPECTRA-PHYSICS, INC.",1250 W MIDDLEFIELD RD,MOUNTAIN VIEW,SANTA CLARA,06085,CA,94042,37.408,-122.0786,Final,02/11/91,37.2
CAD009159088,0901181,"TRW MICROWAVE, INC (BUILDING 825)",825 STEWART DR,SUNNYVALE,SANTA CLARA,06085,CA,94086,37.3846,-122.0085,Final,02/21/90,31.94
CAD009205097,0901202,RAYTHEON CORP.,350 ELLIS ST,MOUNTAIN VIEW,SANTA CLARA,06085,CA,94043,37.3975,-122.0533,Final,06/10/86,29.76
CAD009212838,0901206,"CTS PRINTEX, INC.",PLYMOUTH & COLONY STS,MOUNTAIN VIEW,SANTA CLARA,06085,CA,94043,37.4165,-122.0872,Final,02/21/90,33.62
CAD009688052,0901242,HALACO ENGINEERING COMPANY,6200 PERKINS,OXNARD,VENTURA,06111,CA,93033,34.1407,-119.1777,Final,09/19/07,51.94
CAD020748125,0901257,CASMALIA RESOURCES,NTU RD-539 SAN YSIDRO RD,CASMALIA,SANTA BARBARA,06083,CA,93429,34.8631,-120.5443,Final,09/13/01,30
CAD029295706,0901287,LORENTZ BARREL & DRUM CO.,1515 S 10TH ST,SAN JOSE,SANTA CLARA,06085,CA,95112,37.3186,-121.8644,Final,10/04/89,33.94
CAD029452141,0901290,SELMA TREATING CO.,1735 DOCKERY AVE & ADJOINING,SELMA,FRESNO,06019,CA,93662,36.5566,-119.6017,Final,09/08/83,48.83
CAD029544731,0901293,DEL AMO,DEL AMO BLVD AND VERMONT AVE,LOS ANGELES,LOS ANGELES,06037,CA,90006,33.8466,-118.2894,Final,09/05/02,47.12
CAD041472341,0901325,INTERSIL INC./SIEMENS COMPONENTS,10900 N TANTAU AVE/19000 HOMESTEAD RD,CUPERTINO,SANTA CLARA,06085,CA,95014,37.3361,-122.0015,Final,08/30/90,28.9
CAD041472986,0901326,NATIONAL SEMICONDUCTOR CORP.,2900 SEMICONDUCTOR AVE,SANTA CLARA,SANTA CLARA,06085,CA,95050,37.3752,-121.9989,Final,07/22/87,35.57
CAD042245001,0903349,OMEGA CHEMICAL CORPORATION,12504 AND 12512 E. WHITTIER BOULEVARD,WHITTIER,LOS ANGELES,06037,CA,90602,33.9697,-118.0422,Final,01/19/99,30.94
CAD042728840,0901344,APPLIED MATERIALS,3050 BOWERS AVE,SANTA CLARA,SANTA CLARA,06085,CA,95051,37.3777,-121.9777,Final,07/22/87,31.94
CAD048634059,0901389,"ADVANCED MICRO DEVICES, INC.",901 THOMPSON PL,SUNNYVALE,SANTA CLARA,06085,CA,94086,37.3825,-122.0086,Final,06/10/86,37.93
CAD048645444,0901391,BECKMAN INSTRUMENTS (PORTERVILLE PLANT),167 W POPLAR AVE,PORTERVILLE,TULARE,06107,CA,93257,36.049,-119.0201,Final,06/10/86,34.21
CAD049236201,0901398,MONOLITHIC MEMORIES,1165 E ARQUES AVE,SUNNYVALE,SANTA CLARA,06085,CA,94086,37.3816,-121.9968,Final,07/22/87,35.57
CAD052384021,0901425,"BROWN & BRYANT, INC. (ARVIN PLANT)",600 S DERBY RD,ARVIN,KERN,06029,CA,93203,35.203,-118.822,Final,10/04/89,53.36
CAD055753370,0903253,COOPER DRUM CO.,9316 ATLANTIC AVE,SOUTH GATE,LOS ANGELES,06037,CA,90280,33.9469,-118.1796,Final,06/14/01,50
CAD061620217,0901482,INTEL CORP. (MOUNTAIN VIEW PLANT),365 E MIDDLEFIELD RD,MOUNTAIN VIEW,SANTA CLARA,06085,CA,94040,37.3962,-122.0566,Final,06/10/86,29.76
CAD063015887,0901489,COAST WOOD PRESERVING,PLANT RD & TAYLOR DR,UKIAH,MENDOCINO,06045,CA,95482,39.1125,-123.193,Final,09/08/83,44.73
CAD063020143,0901490,"VALLEY WOOD PRESERVING, INC.",2237 S GOLDEN STATE BLVD,TURLOCK,STANISLAUS,06099,CA,95380,37.4727,-120.8239,Final,03/31/89,32.01
CAD065021594,0901513,LOUISIANA-PACIFIC CORP.,HWY 70 GEORGIA PACIFIC WAY,OROVILLE,BUTTE,06007,CA,95965,39.4743,-121.5703,Deleted from NPL,11/21/96,33.73
CAD066635442,0903424,STOKER COMPANY,3390 DOGWOOD ROAD,IMPERIAL,IMPERIAL,06025,CA,92251,32.9102,-115.5444,Proposed for NPL,07/29/91,70.94
CAD071530380,0901554,FRONTIER FERTILIZER,COUNTY ROAD 32A,DAVIS,YOLO,06113,CA,95618,38.553,-121.6733,Final,05/31/94,35.04
CAD092212497,0901661,INTEL MAGNETICS,3000 OAKMEAD VILLAGE DR,SANTA CLARA,SANTA CLARA,06085,CA,95051,37.3756,-121.9801,Final,06/10/86,31.94
CAD095989778,0901680,FAIRCHILD SEMICONDUCTOR CORP. (MOUNTAIN VIEW PLANT),464 ELLIS ST,MOUNTAIN VIEW,SANTA CLARA,06085,CA,94042,37.4012,-122.0542,Final,02/11/91,31.94
CAD097012298,0901685,FAIRCHILD SEMICONDUCTOR CORP. (SOUTH SAN JOSE PLANT),101 BERNAL ROAD,SAN JOSE,SANTA CLARA,06085,CA,95119,37.2326,-121.7748,Final,10/04/89,44.46
CAD098229214,0901694,ALARK HARD CHROME,2777 MAIN STREET,RIVERSIDE,RIVERSIDE,06065,CA,92501,33.9918,-117.3671,Final,12/01/00,50.5
CAD980358832,0901718,AEROJET GENERAL CORP.,HWY US 50 & AEROJET RD,RANCHO CORDOVA,SACRAMENTO,06067,CA,95670,38.6083,-121.2,Final,09/08/83,54.63
CAD980496863,0901736,ATLAS ASBESTOS MINE,LOS GATOS CREEK RD NW OF FRESNO,COALINGA,FRESNO,06019,CA,93210,36.3216,-120.5867,Final,09/21/84,45.55
CAD980498455,0901744,CRAZY HORSE SANITARY LANDFILL,350 CRAZY HORSE CANYON ROAD,SALINAS,MONTEREY,06053,CA,93907,36.8026,-121.6186,Final,08/30/90,37.93
CAD980498612,0901755,IRON MOUNTAIN MINE,OFF HWY 299 9 MI NW OF,REDDING,SHASTA,06089,CA,96001,40.6716,-122.5278,Final,09/08/83,56.16
CAD980498695,0901757,MCCOLL,ROSECRANS & SUNNY RIDGE,FULLERTON,ORANGE,06059,CA,92833,33.8953,-117.9712,Final,09/08/83,41.77
CAD980636781,0901841,PACIFIC COAST PIPE LINES,67 E TELEGRAPH RD,FILLMORE,VENTURA,06111,CA,93015,34.4041,-118.9028,Final,10/04/89,46.01
CAD980636914,0901854,FRESNO MUNICIPAL SANITARY LANDFILL,SW COR OF JENSEN & W AVE,FRESNO,FRESNO,06019,CA,93706,36.7041,-119.8261,Final,10/04/89,35.57
CAD980638860,0901938,CELTOR CHEMICAL WORKS,BETW NORTON FLD & TRINITY RIV,HOOPA,HUMBOLDT,06023,CA,95546,41.1027,-123.6911,Deleted from NPL,09/30/03,30.31
CAD980673685,0901943,LEVIATHAN MINE,LEVIATHAN MINE,MARKLEEVILLE,ALPINE,06003,CA,96120,38.7038,-119.6561,Final,05/11/00,50
CAD980677355,0901951,SAN GABRIEL VALLEY (AREA 1),PECK RD & REAL,EL MONTE,LOS ANGELES,06037,CA,91733,34.125,-118,Final,05/08/84,42.24
CAD980736151,0902019,"PURITY OIL SALES, INC.",3265 S MAPLE AVE,MALAGA,FRESNO,06019,CA,93725,36.6874,-119.7467,Final,09/08/83,43.27
CAD980736284,0902025,INDUSTRIAL WASTE PROCESSING,7140 N HARRISON,FRESNO,FRESNO,06019,CA,93650,36.8425,-119.8094,Final,08/30/90,51.13
CAD980737092,0904950,PEMACO MAYWOOD,5050 SLAUSON BOULEVARD,MAYWOOD,LOS ANGELES,06037,CA,90270,33.9854,-118.1712,Final,01/19/99,45.23
CAD980737613,0902040,JIBBOOM JUNKYARD,240 - 260 JIBBOOM ST,SACRAMENTO,SACRAMENTO,06067,CA,95814,38.5916,-121.5033,Deleted from NPL,09/10/91,28.94
CAD980816466,0902061,SOUTHERN CALIFORNIA EDISON CO. (VISALIA POLEYARD),432 BEN MADDOX WAY,VISALIA,TULARE,06107,CA,93277,36.3333,-119.2767,Deleted from NPL,09/26/09,0
CAD980817217,0902075,COALINGA ASBESTOS MINE,PINE CYN 15 MI NW OF,COALINGA,FRESNO,06019,CA,93210,36.31,-120.5283,Deleted from NPL,04/24/98,45.55
CAD980817985,0902091,SAN GABRIEL VALLEY (AREA 4),STIMSON AVE & OLD VALLEY BLVD,LA PUENTE,LOS ANGELES,06037,CA,91744,34.0166,-117.9583,Final,05/08/84,28.9
CAD980818512,0902092,SAN GABRIEL VALLEY (AREA 2),SUNSET & SAN BERNARDINO FREEWAY,BALDWIN PARK,LOS ANGELES,06037,CA,91706,34.0736,-117.9361,Final,05/08/84,42.24
CAD980818579,0902093,SAN GABRIEL VALLEY (AREA 3),MAIN ST & GAFIELD AVE,ALHAMBRA,LOS ANGELES,06037,CA,91801,34.1,-118.125,Final,05/08/84,28.9
CAD980884209,0902134,HEWLETT-PACKARD (620-640 PAGE MILL ROAD),620 - 640 PAGE MILL RD.,PALO ALTO,SANTA CLARA,06085,CA,94304,37.4214,-122.1434,Final,02/21/90,29.76
CAD980884357,0902140,"WASTE DISPOSAL, INC.",12731 E LOS NIETOS RD,SANTA FE SPRINGS,LOS ANGELES,06037,CA,90670,33.95,-118.055,Final,07/22/87,34.6
CAD980893234,0902226,WATKINS-JOHNSON CO. (STEWART DIVISION PLANT),440 KINGS VILLAGE RD,SCOTTS VALLEY,SANTA CRUZ,06087,CA,95066,37.0511,-122.029,Final,08/30/90,28.9
